initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
-1.321048737,-0.810983658,-1.231318831,-0.572997808,-0.199557424,0.37254253
-19.94590759,-19.01445007,-19.12179565,-19.08788872,-18.05622673,-17.49398232
-32.25246811,-31.51184654,-31.45018768,-31.64211655,-30.53536797,-30.61731339
-40.06412125,-39.5145607,-39.36099625,-39.58490753,-38.54263306,-38.99723434
-44.76190186,-44.32177353,-44.24309158,-44.42120361,-43.62926483,-43.9424057
-47.32946396,-46.95892334,-46.97766113,-47.19254684,-46.5960083,-46.91730881
-48.7321701,-48.53667068,-48.43511963,-48.61072159,-48.18979645,-48.43755722
-49.48785019,-49.26868439,-49.38382721,-49.27920914,-49.16959763,-49.32654572
-49.890625,-49.7134819,-49.88555527,-49.7356987,-49.61481857,-49.67524719
-49.97309494,-50.02746964,-49.98359299,-49.99083328,-49.99671173,-49.87556458
-50.12134552,-50.17285156,-50.12171936,-50.07284927,-50.148983,-49.99577713
-50.20530319,-50.20105743,-50.1097374,-50.21660614,-50.1594429,-50.15478134
-50.25390625,-50.35603333,-50.23910904,-50.27438354,-50.2291069,-50.19512558
-50.14996338,-50.20225143,-50.32194138,-50.30563354,-50.27841568,-50.16710281
-50.19340897,-50.28862381,-50.36333466,-50.22750854,-50.27487564,-50.21483994
-50.25919342,-50.25079346,-50.32405853,-50.21812439,-50.36453629,-50.11646652
-50.28456497,-50.20372391,-50.36452484,-50.2567215,-50.19840622,-50.26763916
-50.24562454,-50.15358734,-50.22837067,-50.25395966,-50.10602188,-50.239254
-50.31982803,-50.16072083,-50.27040482,-50.26271057,-50.17864227,-50.27642059
-50.3349762,-50.21097183,-50.39251709,-50.25138855,-50.21544266,-50.28472519
-50.32418442,-50.17022324,-50.36994171,-50.15999985,-50.22228241,-50.30715179
-50.35659027,-50.11737061,-50.2827034,-50.14425659,-50.1889801,-50.24298477
-50.31208801,-50.20104599,-50.20070267,-50.20082092,-50.16718292,-50.28602219
-50.36138916,-50.24845123,-50.18278122,-50.26512527,-50.23134232,-50.26660919
-50.36843491,-50.27173615,-50.25727463,-50.24303055,-50.17737198,-50.2477951
-50.34490967,-50.29959106,-50.27843857,-50.1985321,-50.21403122,-50.32640839
-50.25828171,-50.28275299,-50.21836853,-50.26164246,-50.19635773,-50.32032776
-50.21478653,-50.25109482,-50.23522186,-50.21868134,-50.22802353,-50.32265091
-50.21001434,-50.27539825,-50.29888916,-50.24274826,-50.26631546,-50.27228546
-50.26709366,-50.22700119,-50.34088898,-50.24755478,-50.28706741,-50.33253479
-50.320755,-50.24884415,-50.34671783,-50.22753906,-50.30727768,-50.31994629
-50.28590012,-50.17685318,-50.34025574,-50.2938118,-50.29014969,-50.28290176
-50.27284241,-50.22503662,-50.37651443,-50.29202652,-50.24121094,-50.30840683
-50.25077438,-50.20395279,-50.34119034,-50.26208878,-50.21970749,-50.32196426
-50.24231339,-50.2077446,-50.30988312,-50.26007843,-50.20940399,-50.35496521
-50.27374268,-50.21025848,-50.30785751,-50.28210831,-50.19347382,-50.32062531
-50.23565674,-50.21709442,-50.28029251,-50.25736237,-50.23213196,-50.2902565
-50.24772263,-50.24134064,-50.28612137,-50.21922302,-50.22021866,-50.25831604
-50.21997452,-50.30909729,-50.29008484,-50.21146774,-50.21487045,-50.23920441
-50.23456192,-50.30877686,-50.29722214,-50.2143898,-50.16271591,-50.24170303
-50.25316238,-50.30003738,-50.29042816,-50.21476746,-50.16179657,-50.27616119
