initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
3.888875484,27.00950508,103.398407,253.5786896,374.0149231,2542.669922
3.803741693,23.3841877,100.3236465,243.8930359,370.1437988,2459.720947
3.740846395,23.1780777,98.0266571,231.8282623,367.9063721,2401.344238
3.712588549,23.01535034,96.08513641,221.1560364,366.4008179,2362.1521
3.680830479,22.89979935,94.63335419,212.9973297,365.441864,2334.38623
3.666141748,22.84195328,93.59159851,208.0523224,364.7871094,2315.853271
3.659833908,22.81375694,92.77080536,205.7514343,364.3847351,2304.024414
3.649176359,22.77954674,92.24191284,204.9626923,364.2531128,2295.564209
3.650339365,22.77305603,91.86269379,204.577774,364.0337219,2289.234375
3.643177986,22.76537323,91.61781311,204.5593262,363.8108521,2284.976563
3.642046213,22.73401833,91.43429565,204.557312,363.8429871,2281.93457
3.638974428,22.74544525,91.27640533,204.5802307,363.8603516,2279.539307
3.644044638,22.74035645,91.2558136,204.6169739,363.7267761,2277.739746
3.648747206,22.70960999,91.13569641,204.5783539,363.6453247,2276.671631
3.635102034,22.71291161,91.07479095,204.546814,363.7431946,2275.659668
3.640929937,22.74604607,91.06338501,204.5478821,363.7101135,2274.874268
3.636817217,22.72524643,91.0550766,204.54039,363.5904236,2274.528809
3.637500763,22.72117615,90.96157074,204.5700836,363.6357422,2273.900635
3.628625154,22.7347374,90.96398163,204.5149689,363.6809692,2273.658447
3.637818336,22.73072815,90.96311951,204.5713959,363.6159668,2273.275635
3.639253616,22.70026588,90.93606567,204.6292725,363.6323853,2273.268555
3.634541512,22.71631241,90.92006683,204.6036682,363.6755371,2273.07666
3.642743587,22.73088837,90.93888092,204.5390625,363.7236328,2273.035156
3.636715412,22.73412323,90.94538879,204.4885559,363.485321,2273.026367
3.645322084,22.73083687,90.91475677,204.5718536,363.5631104,2272.943359
3.630957365,22.71495247,90.9107666,204.5185242,363.6616211,2272.967773
3.63669157,22.73962402,90.90286255,204.5192108,363.657074,2272.693848
3.640832663,22.72948265,90.8944397,204.6230316,363.6647949,2272.750488
3.633614779,22.72759247,90.93559265,204.6095428,363.7572021,2272.67334
3.632808447,22.74372292,90.89784241,204.527298,363.640625,2272.526855
3.644661903,22.73909569,90.86427307,204.5600433,363.6780396,2272.956299
3.63740778,22.7393074,90.89609528,204.5748901,363.5857544,2272.65918
3.636301279,22.73773193,90.89463806,204.5708771,363.5840149,2272.791992
3.634816885,22.73047256,90.90909576,204.6320953,363.5722656,2272.592041
3.646538496,22.74062347,90.91100311,204.5999298,363.6441345,2272.52832
3.633504868,22.75033951,90.91705322,204.5728607,363.6810608,2272.797852
3.640883923,22.72688866,90.94269562,204.5659027,363.5966492,2272.68457
3.632224083,22.71832848,90.93628693,204.6004639,363.6987915,2272.802246
3.628844261,22.73165512,90.94245148,204.5502777,363.6457825,2272.536621
3.633330107,22.7419014,90.91496277,204.5538025,363.7425537,2272.637207
3.643054485,22.73428345,90.92431641,204.5591125,363.6435242,2272.791016
3.634628296,22.74476051,90.88015747,204.550827,363.7258301,2272.873779
3.628791571,22.71854401,90.8957901,204.573761,363.6085205,2272.866211
3.634033442,22.73111725,90.92233276,204.6178589,363.5514526,2272.773682
3.636829138,22.73082352,90.88570404,204.5997772,363.6026917,2272.782959
3.635525703,22.7437973,90.92031097,204.5200806,363.7294006,2272.634277
3.635150909,22.7193737,90.86267853,204.5550079,363.5770569,2272.855469
3.632758617,22.73174477,90.90561676,204.5358734,363.6793213,2272.808105
3.630069733,22.74556732,90.94028473,204.627594,363.6401672,2272.781006
3.638010263,22.73518753,90.93164825,204.5595398,363.6384583,2272.607666
3.649604559,22.71532059,90.954216,204.5937195,363.5980225,2272.669922
