initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
200.7644806,201.7237549,202.421524,202.8023834,203.1573334,204.0578308
201.1970367,202.1492767,202.8517914,203.220871,203.5599365,204.4897003
201.4927979,202.4096222,203.1269836,203.500061,203.8267517,204.7359314
201.6870728,202.5967102,203.2945862,203.6794281,204.04216,204.8790588
201.8221283,202.7857513,203.4347992,203.8441315,204.1807251,205.1154633
201.8674927,202.8272705,203.4841766,203.9335785,204.2134552,205.1411896
201.9083405,202.7919312,203.7102814,204.0226898,204.4283447,205.2177582
201.9437256,202.9470215,203.6385193,204.0245819,204.2993469,205.1763611
202.0681152,202.9539795,203.5981903,204.0570679,204.3340302,205.2862396
201.9896545,203.0180511,203.5359344,204.1784058,204.3320465,205.3662262
202.0789185,202.9744873,203.7414093,204.0901489,204.374649,205.2631836
202.1500549,202.9122009,203.7072754,204.1902313,204.3374481,205.3265228
201.9857788,203.0424347,203.7550507,204.1277924,204.4470215,205.4068298
202.0757446,202.9308777,203.6947937,204.1395874,204.4344177,205.453949
202.0301514,202.9550171,203.6828003,204.1409912,204.3460388,205.1743774
202.1446533,203.0334625,203.6190643,204.1817322,204.3814697,205.3005524
202.1164398,202.9846191,203.6708832,204.0908051,204.3820343,205.4009399
202.048645,202.9953461,203.6703339,204.1799469,204.3047485,205.387207
202.0602875,202.9463806,203.6316681,204.0872192,204.215271,205.385849
201.9539032,202.9970245,203.5923309,204.0325317,204.4234161,205.2481384
202.0506287,202.8847046,203.7935638,203.9508209,204.3618164,205.3769226
202.0516968,203.0480347,203.7017517,204.1878967,204.4536896,205.2028503
202.04039,202.9659271,203.8525696,204.0284729,204.5808105,205.430603
202.0093689,203.0471497,203.4936523,204.1821289,204.3456879,205.2997742
202.1268768,202.921524,203.7384644,204.1686249,204.5691528,205.3271942
201.981842,202.9572601,203.7349548,204.1561127,204.4402008,205.3712769
202.1218719,202.9704437,203.819046,204.0762024,204.4124146,205.3192139
201.9993896,203.0871582,203.752182,204.0600586,204.3456268,205.3010254
202.131073,203.0799713,203.6978149,204.1342316,204.4137268,205.3487854
202.0800476,202.9101715,203.7170258,204.0654755,204.4029846,205.4355774
202.0011139,202.9522858,203.8494415,204.1851501,204.3464203,205.4130096
202.0575562,203.0402222,203.665741,204.0898285,204.4161377,205.3350983
202.0122375,203.1416779,203.7904358,204.0115967,204.3305664,205.3286438
202.0809174,202.8540192,203.7462616,204.2228241,204.3513947,205.3976898
202.1368256,203.1164246,203.6625824,204.1148987,204.4011688,205.2936707
202.1390381,202.8709259,203.7323761,204.1409149,204.471283,205.4052429
202.0642242,202.9575653,203.6819305,204.1595917,204.4704895,205.3215027
202.0585938,202.9833374,203.7614441,203.9307251,204.4972229,205.3200378
202.0428925,203.1624146,203.6426086,204.1219482,204.457962,205.171814
202.0992432,203.0440216,203.6719818,204.2036743,204.4359894,205.3562012
202.0427551,202.9360962,203.6430511,204.1364594,204.3745117,205.3471222
