initial = 2,initial = 5,initial = 10,initial = 15,initial = 20,initial = 50
-0.476873577,1.998459101,1.5,7,-9,-4
-0.709847808,1.418900847,-7.892510891,-1.837461233,-16.73450851,-32.42703629
-0.911829233,0.825254381,-8.245873451,-4.226164818,-17.79878235,-38.86565781
-1.078763962,0.206381038,-8.594652176,-6.122704506,-18.52804375,-42.91614151
-1.211886644,-0.501989841,-8.939535141,-7.565882206,-18.9978981,-45.32729721
-1.316460371,-1.326362491,-9.242585182,-8.639834404,-19.29269981,-46.78300095
-1.39936471,-2.221237898,-9.474901199,-9.448999405,-19.47939682,-47.71266937
-1.466700673,-3.068597317,-9.637331963,-10.09333897,-19.60162544,-48.34900665
-1.522627234,-3.742878437,-9.745389938,-10.63986778,-19.68487167,-48.80828857
-1.569727063,-4.198509216,-9.81594944,-11.12075615,-19.74377632,-49.14037323
-1.609781504,-4.475536823,-9.862258911,-11.54861546,-19.7869606,-49.36698532
-1.64410615,-4.638039589,-9.893310547,-11.92809963,-19.81962204,-49.51192093
-1.673713923,-4.735106945,-9.914766312,-12.26205158,-19.84496117,-49.60338593
-1.69943738,-4.795906067,-9.930093765,-12.55463696,-19.86503983,-49.66326523
-1.721938848,-4.836181164,-9.941390991,-12.81133938,-19.88124466,-49.70497894
-1.741738677,-4.864296436,-9.949957848,-13.03776741,-19.89452934,-49.73588943
-1.759268403,-4.884828091,-9.956620216,-13.23876858,-19.90555,-49.76008224
-1.774879813,-4.900390148,-9.961909294,-13.4181881,-19.91482353,-49.77977753
-1.788873792,-4.912537098,-9.966187477,-13.57905483,-19.92270279,-49.79627991
-1.801489115,-4.922249317,-9.969701767,-13.72372437,-19.92944908,-49.81041718
-1.812927485,-4.930169582,-9.972625732,-13.8541069,-19.93528175,-49.82267761
-1.823362231,-4.936730385,-9.975090981,-13.97178268,-19.94035912,-49.83345032
-1.832941175,-4.942238808,-9.977189064,-14.07808018,-19.94480705,-49.84302521
-1.841789126,-4.946919441,-9.978989601,-14.17413425,-19.94872856,-49.8515625
-1.850019813,-4.950934887,-9.980546951,-14.26084614,-19.95220566,-49.85925293
-1.857725143,-4.954409122,-9.981908798,-14.33897781,-19.95529747,-49.86621475
-1.864989996,-4.957440376,-9.983099937,-14.40916634,-19.95807076,-49.87254715
-1.871881604,-4.960101128,-9.984155655,-14.47197151,-19.96055984,-49.87831116
-1.878461719,-4.962453842,-9.985091209,-14.52789497,-19.96281052,-49.88360977
-1.884788156,-4.964544773,-9.98592186,-14.57745552,-19.96484566,-49.88849258
-1.890898943,-4.966414452,-9.98666954,-14.62118149,-19.96670341,-49.89299774
-1.896829367,-4.968091965,-9.987340927,-14.65959644,-19.96839333,-49.89714813
-1.902599812,-4.969604015,-9.987951279,-14.69325161,-19.96994209,-49.90101242
-1.908224702,-4.970973015,-9.988500595,-14.72267151,-19.97135544,-49.90460968
-1.913700342,-4.972216606,-9.989005089,-14.74837017,-19.97265816,-49.9079628
-1.91902113,-4.973350048,-9.989458084,-14.77081585,-19.97386742,-49.91109848
-1.924168825,-4.974388123,-9.989878654,-14.79044914,-19.97497749,-49.91403961
-1.929123402,-4.975338459,-9.990262985,-14.80764961,-19.97601128,-49.91680145
-1.933858514,-4.976212502,-9.990614891,-14.82277107,-19.97696304,-49.919384
-1.938344955,-4.97701931,-9.990942001,-14.83611012,-19.97785568,-49.92181778
-1.942560196,-4.97776556,-9.991242409,-14.84792233,-19.97868729,-49.9241333
-1.946481943,-4.97845602,-9.991520882,-14.8584156,-19.97946167,-49.9262886
-1.950096846,-4.979098797,-9.99177742,-14.86778545,-19.98019218,-49.92835236
-1.95340538,-4.979696274,-9.992020607,-14.87617779,-19.98086548,-49.93029022
-1.956408978,-4.980252266,-9.992242813,-14.88372612,-19.98150635,-49.93214035
-1.959120154,-4.980773449,-9.992452621,-14.89053345,-19.98210526,-49.93389893
-1.961553454,-4.981259823,-9.992647171,-14.89670658,-19.98266411,-49.93555069
-1.963724375,-4.98171711,-9.992830276,-14.90231228,-19.98319244,-49.93713379
-1.96565783,-4.982144356,-9.993000031,-14.90742302,-19.9836998,-49.93865585
-1.967372656,-4.982547283,-9.993163109,-14.91209412,-19.98416901,-49.94008636
-1.968748093,-4.982889652,-9.993298531,-14.91596031,-19.98456955,-49.94134521
